# Exhaustive K rule/declaration inventory
source_files=26
inventory_items=937
category_counts={'claim': 2, 'configuration': 1, 'context': 5, 'rule': 699, 'syntax': 230}
flag_counts={'concrete': 35, 'function': 148, 'macro': 4, 'opaque/no-evaluators': 22, 'owise': 26, 'priority': 45, 'strictness': 2, 'symbol': 25, 'total': 108}
per_file_counts:
  /candidate/spec.k: {'claim': 2}
  /candidate/verification.k: {'flag:function': 3, 'flag:total': 1, 'rule': 4, 'syntax': 3}
  /reference/reference-semantics/semantics/assert.k: {'flag:priority': 1, 'rule': 3}
  /reference/reference-semantics/semantics/bool.k: {'context': 1, 'flag:priority': 5, 'rule': 13}
  /reference/reference-semantics/semantics/builtins.k: {'flag:function': 29, 'flag:opaque/no-evaluators': 1, 'flag:owise': 10, 'flag:priority': 1, 'flag:symbol': 1, 'flag:total': 22, 'rule': 137, 'syntax': 38}
  /reference/reference-semantics/semantics/call.k: {'flag:function': 1, 'flag:owise': 2, 'flag:priority': 5, 'flag:total': 1, 'rule': 21, 'syntax': 3}
  /reference/reference-semantics/semantics/comprehension.k: {'flag:macro': 3, 'rule': 7, 'syntax': 3}
  /reference/reference-semantics/semantics/concrete.k: {'flag:function': 3, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 1, 'rule': 16, 'syntax': 5}
  /reference/reference-semantics/semantics/controls.k: {'flag:owise': 3, 'flag:priority': 6, 'rule': 34, 'syntax': 3}
  /reference/reference-semantics/semantics/core.k: {'configuration': 1, 'flag:function': 15, 'flag:owise': 3, 'flag:priority': 2, 'flag:total': 10, 'rule': 46, 'syntax': 37}
  /reference/reference-semantics/semantics/dict.k: {'flag:function': 8, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 4, 'rule': 28, 'syntax': 12}
  /reference/reference-semantics/semantics/float.k: {'flag:concrete': 26, 'flag:function': 26, 'flag:opaque/no-evaluators': 19, 'flag:priority': 4, 'flag:symbol': 22, 'flag:total': 25, 'rule': 121, 'syntax': 34}
  /reference/reference-semantics/semantics/functions.k: {'flag:priority': 1, 'rule': 15, 'syntax': 4}
  /reference/reference-semantics/semantics/int.k: {'flag:function': 1, 'rule': 16, 'syntax': 1}
  /reference/reference-semantics/semantics/iter.k: {'syntax': 1}
  /reference/reference-semantics/semantics/list.k: {'flag:function': 3, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 2, 'rule': 27, 'syntax': 5}
  /reference/reference-semantics/semantics/methods.k: {'flag:function': 27, 'flag:owise': 4, 'flag:priority': 3, 'flag:total': 22, 'rule': 75, 'syntax': 27}
  /reference/reference-semantics/semantics/operators.k: {'context': 2, 'flag:owise': 1, 'flag:priority': 5, 'rule': 10}
  /reference/reference-semantics/semantics/range.k: {'flag:function': 2, 'flag:total': 1, 'rule': 6, 'syntax': 2}
  /reference/reference-semantics/semantics/set.k: {'flag:function': 5, 'flag:total': 5, 'rule': 12, 'syntax': 6}
  /reference/reference-semantics/semantics/sort.k: {'flag:concrete': 9, 'flag:function': 6, 'flag:opaque/no-evaluators': 2, 'flag:priority': 1, 'flag:symbol': 2, 'flag:total': 4, 'rule': 19, 'syntax': 6}
  /reference/reference-semantics/semantics/str.k: {'flag:function': 5, 'flag:total': 4, 'rule': 28, 'syntax': 5}
  /reference/reference-semantics/semantics/subscript.k: {'context': 2, 'flag:function': 13, 'flag:priority': 2, 'flag:total': 6, 'rule': 40, 'syntax': 15}
  /reference/reference-semantics/semantics/syntax.k: {'flag:macro': 1, 'flag:strictness': 2, 'syntax': 16}
  /reference/reference-semantics/semantics/tuple.k: {'flag:function': 1, 'flag:priority': 3, 'rule': 21, 'syntax': 4}

id	file	line	kind	flags	decision	complete_statement
K0565	/reference/reference-semantics/semantics/functions.k	14	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> FuncDef(F:String, Params(PNS:ParamNames), BODY:Stmts) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ F <- closureVal(PNS, BODY, L) ], _) ... </scopes>
K0566	/reference/reference-semantics/semantics/functions.k	18	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Expr ::= closureExpr(ParamNames, Stmts)
K0567	/reference/reference-semantics/semantics/functions.k	19	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> closureExpr(PNS:ParamNames, BODY:Stmts) => closureVal(PNS, BODY, L) ... </k> <env> L:Int </env>
K0568	/reference/reference-semantics/semantics/functions.k	27	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Val ::= closureValC(ParamNames, ParamNames, Stmts, Map)
K0569	/reference/reference-semantics/semantics/functions.k	31	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax KItem ::= #mkClosure(String, ParamNames, ParamNames, ParamNames, Stmts, Map) | #mkLambda(ParamNames, ParamNames, ParamNames, Stmts, Map)
K0570	/reference/reference-semantics/semantics/functions.k	33	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> FuncDef(F:String, Params(PNS:ParamNames), CellVars(CVS:ParamNames), FreeVars(FVS:ParamNames), BODY:Stmts) => #mkClosure(F, PNS, CVS, FVS, BODY, .Map) ... </k>
K0571	/reference/reference-semantics/semantics/functions.k	36	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #mkClosure(F:String, PNS:ParamNames, CVS:ParamNames, (FV:String, FVR:ParamNames), BODY:Stmts, CM:Map) => #mkClosure(F, PNS, CVS, FVR, BODY, CM [ FV <- {M[FV]}:>Val ]) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires FV in_keys(M)
K0572	/reference/reference-semantics/semantics/functions.k	42	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #mkClosure(F:String, PNS:ParamNames, CVS:ParamNames, .ParamNames, BODY:Stmts, CM:Map) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ F <- closureValC(PNS, CVS, BODY, CM) ], _) ... </scopes>
K0573	/reference/reference-semantics/semantics/functions.k	47	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Lambda(Params(PNS:ParamNames), E:Expr) => closureVal(PNS, Return(E) .Stmts, L) ... </k> <env> L:Int </env>
K0574	/reference/reference-semantics/semantics/functions.k	50	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Lambda(Params(PNS:ParamNames), CellVars(CVS:ParamNames), FreeVars(FVS:ParamNames), E:Expr) => #mkLambda(PNS, CVS, FVS, Return(E) .Stmts, .Map) ... </k>
K0575	/reference/reference-semantics/semantics/functions.k	53	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #mkLambda(PNS:ParamNames, CVS:ParamNames, (FV:String, FVR:ParamNames), BODY:Stmts, CM:Map) => #mkLambda(PNS, CVS, FVR, BODY, CM [ FV <- {M[FV]}:>Val ]) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires FV in_keys(M)
K0576	/reference/reference-semantics/semantics/functions.k	59	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #mkLambda(PNS:ParamNames, CVS:ParamNames, .ParamNames, BODY:Stmts, CM:Map) => closureValC(PNS, CVS, BODY, CM) ... </k>
K0577	/reference/reference-semantics/semantics/functions.k	63	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #bindP(.ParamNames, .Vals) => .K ... </k>
K0578	/reference/reference-semantics/semantics/functions.k	64	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #bindP((P:String, PS:ParamNames), (V:Val, VS:Vals)) => #bindP(PS, VS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ P <- V ], _) ... </scopes>
K0579	/reference/reference-semantics/semantics/functions.k	68	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #bindP((P:String, PS:ParamNames), (V:Val, VS:Vals)) => #cellW({M[P]}:>Val, V) ~> #bindP(PS, VS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires "$cells" in_keys(M) andBool pnMember(P, cellsOf({M["$cells"]}:>Val)) andBool P in_keys(M) andBool isCellRef({M[P]}:>Val) [priority(40)]
K0580	/reference/reference-semantics/semantics/functions.k	78	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Return(V:Val) ~> _ => #pop </k> <ret> noRet => retV(V) </ret>
K0581	/reference/reference-semantics/semantics/functions.k	80	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #endcall => #pop ... </k> <ret> noRet => retV(noneV) </ret>
K0582	/reference/reference-semantics/semantics/functions.k	85	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #pop => V ~> CONT </k> <ret> retV(V) => noRet </ret> <stack> ListItem(frame(CONT:K, CALLERL:Int, SAVEDL:Int)) => .List ... </stack> <env> L:Int => CALLERL </env> <scopes> SC:Map => SC [ L <- undef ] </scopes> <scopeLoc> _ => SAVEDL </scopeLoc> endmodule
K0583	/reference/reference-semantics/semantics/int.k	7	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyUn("-", I:Int) => 0 -Int I
K0584	/reference/reference-semantics/semantics/int.k	9	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("+", I1:Int, I2:Int) => I1 +Int I2
K0585	/reference/reference-semantics/semantics/int.k	11	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("+", I:Int, B:Bool) => I +Int #if B #then 1 #else 0 #fi
K0586	/reference/reference-semantics/semantics/int.k	12	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("+", B:Bool, I:Int) => #if B #then 1 #else 0 #fi +Int I
K0587	/reference/reference-semantics/semantics/int.k	13	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("-", I1:Int, I2:Int) => I1 -Int I2
K0588	/reference/reference-semantics/semantics/int.k	14	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("*", I1:Int, I2:Int) => I1 *Int I2
K0589	/reference/reference-semantics/semantics/int.k	15	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("%", I1:Int, I2:Int) => pyMod(I1, I2)
K0590	/reference/reference-semantics/semantics/int.k	16	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("
K0591	/reference/reference-semantics/semantics/int.k	17	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("**", I1:Int, I2:Int) => I1 ^Int I2 requires I2 >=Int 0
K0592	/reference/reference-semantics/semantics/int.k	19	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= pyMod(Int, Int) [function]
K0593	/reference/reference-semantics/semantics/int.k	20	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule pyMod(I1:Int, I2:Int) => ((I1 %Int I2) +Int I2) %Int I2
K0594	/reference/reference-semantics/semantics/int.k	22	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("<", I1:Int, I2:Int) => I1 <Int I2
K0595	/reference/reference-semantics/semantics/int.k	23	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("<=", I1:Int, I2:Int) => I1 <=Int I2
K0596	/reference/reference-semantics/semantics/int.k	24	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp(">", I1:Int, I2:Int) => I1 >Int I2
K0597	/reference/reference-semantics/semantics/int.k	25	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp(">=", I1:Int, I2:Int) => I1 >=Int I2
K0598	/reference/reference-semantics/semantics/int.k	26	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("==", I1:Int, I2:Int) => I1 ==Int I2
K0599	/reference/reference-semantics/semantics/int.k	27	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("!=", I1:Int, I2:Int) => I1 =/=Int I2 endmodule
K0600	/reference/reference-semantics/semantics/iter.k	8	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax KItem ::= #iterNext(Iterable) | "#iterDone" | #iterYield(Val, Iterable) endmodule
K0601	/reference/reference-semantics/semantics/list.k	9	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterNext(list(.ValSeq)) => #iterDone ... </k>
K0602	/reference/reference-semantics/semantics/list.k	10	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterNext(list(vCons(V:Val, R:ValSeq))) => #iterYield(V, list(R)) ... </k>
K0603	/reference/reference-semantics/semantics/list.k	13	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax ApplyK ::= "toList"
K0604	/reference/reference-semantics/semantics/list.k	14	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> ListExpr(ES:Exprs) => #evalArgs(ES, .Vals, toList) ... </k>
K0605	/reference/reference-semantics/semantics/list.k	15	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #applyK(toList, ACC:Vals) => #alloc(list(vals2valSeq(ACC))) ... </k>
K0606	/reference/reference-semantics/semantics/list.k	18	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax ValSeq ::= valSeqConcat(ValSeq, ValSeq) [function, total]
K0607	/reference/reference-semantics/semantics/list.k	19	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule valSeqConcat(.ValSeq, T:ValSeq) => T
K0608	/reference/reference-semantics/semantics/list.k	20	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule valSeqConcat(vCons(V:Val, S:ValSeq), T:ValSeq) => vCons(V, valSeqConcat(S, T))
K0609	/reference/reference-semantics/semantics/list.k	24	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> BinOp("+", list(A:ValSeq), list(B:ValSeq)) => #alloc(list(valSeqConcat(A, B))) ... </k> [priority(45)]
K0610	/reference/reference-semantics/semantics/list.k	27	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("==", list(A:ValSeq), list(B:ValSeq)) => A ==K B
K0611	/reference/reference-semantics/semantics/list.k	28	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("!=", list(A:ValSeq), list(B:ValSeq)) => notBool (A ==K B)
K0612	/reference/reference-semantics/semantics/list.k	33	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Bool ::= hasRefVS(ValSeq) [function, total]
K0613	/reference/reference-semantics/semantics/list.k	34	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule hasRefVS(.ValSeq) => false
K0614	/reference/reference-semantics/semantics/list.k	35	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule hasRefVS(vCons(V:Val, R:ValSeq)) => isRefV(V) orBool hasRefVS(R)
K0615	/reference/reference-semantics/semantics/list.k	37	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Bool ::= deepEqVS(ValSeq, ValSeq, Map) [function] | deepEqV(Val, Val, Map) [function]
K0616	/reference/reference-semantics/semantics/list.k	39	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule deepEqVS(.ValSeq, .ValSeq, _:Map) => true
K0617	/reference/reference-semantics/semantics/list.k	40	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule deepEqVS(.ValSeq, vCons(_:Val, _:ValSeq), _:Map) => false
K0618	/reference/reference-semantics/semantics/list.k	41	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule deepEqVS(vCons(_:Val, _:ValSeq), .ValSeq, _:Map) => false
K0619	/reference/reference-semantics/semantics/list.k	42	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule deepEqVS(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq), HP:Map) => deepEqV(A, B, HP) andBool deepEqVS(As, Bs, HP)
K0620	/reference/reference-semantics/semantics/list.k	45	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule deepEqV(ref(H:Int), B:Val, HP:Map) => deepEqV({HP[H]}:>Val, B, HP) requires H in_keys(HP)
K0621	/reference/reference-semantics/semantics/list.k	47	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule deepEqV(A:Val, ref(H:Int), HP:Map) => deepEqV(A, {HP[H]}:>Val, HP) requires notBool isRefV(A) andBool H in_keys(HP)
K0622	/reference/reference-semantics/semantics/list.k	49	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule deepEqV(list(A:ValSeq), list(B:ValSeq), HP:Map) => deepEqVS(A, B, HP)
K0623	/reference/reference-semantics/semantics/list.k	50	rule	owise	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule deepEqV(A:Val, B:Val, _:Map) => A ==K B [owise]
K0624	/reference/reference-semantics/semantics/list.k	53	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #applyK(toCall(boundMethodV(ref(H:Int), "append")), (V:Val, .Vals)) => noneV ... </k> <heap> ... H |-> list(VS:ValSeq => valSeqConcat(VS, vCons(V, .ValSeq))) ... </heap> [priority(40)]
K0625	/reference/reference-semantics/semantics/list.k	58	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax KItem ::= #memberAcc(Val, Iterable) | #memberCont(Val) | "#notB"
K0626	/reference/reference-semantics/semantics/list.k	59	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Compare(LV:Val, CmpOp("in", list(VS:ValSeq))) => #memberAcc(LV, list(VS)) ... </k>
K0627	/reference/reference-semantics/semantics/list.k	60	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Compare(LV:Val, CmpOp("not in", list(VS:ValSeq))) => #memberAcc(LV, list(VS)) ~> #notB ... </k>
K0628	/reference/reference-semantics/semantics/list.k	61	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #memberAcc(V:Val, IT:Iterable) => #iterNext(IT) ~> #memberCont(V) ... </k>
K0629	/reference/reference-semantics/semantics/list.k	62	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterDone ~> #memberCont(_V:Val) => false ... </k>
K0630	/reference/reference-semantics/semantics/list.k	63	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterYield(E:Val, _:Iterable) ~> #memberCont(V:Val) => true ... </k> requires E ==K V
K0631	/reference/reference-semantics/semantics/list.k	65	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterYield(E:Val, R:Iterable) ~> #memberCont(V:Val) => #memberAcc(V, R) ... </k> requires notBool (E ==K V)
K0632	/reference/reference-semantics/semantics/list.k	67	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> B:Bool ~> #notB => notBool B ... </k> endmodule
K0633	/reference/reference-semantics/semantics/methods.k	10	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Val ::= applyMethod(Val, String, Vals) [function]
K0634	/reference/reference-semantics/semantics/methods.k	13	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyMethod(str(CS:IntSeq), "isupper", .Vals) => hasUpper(CS) andBool notBool hasLower(CS)
K0635	/reference/reference-semantics/semantics/methods.k	14	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyMethod(str(CS:IntSeq), "islower", .Vals) => hasLower(CS) andBool notBool hasUpper(CS)
K0636	/reference/reference-semantics/semantics/methods.k	15	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyMethod(str(CS:IntSeq), "isalpha", .Vals) => notBool (CS ==K .IntSeq) andBool allAlpha(CS)
K0637	/reference/reference-semantics/semantics/methods.k	16	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyMethod(str(CS:IntSeq), "isdigit", .Vals) => notBool (CS ==K .IntSeq) andBool allDigit(CS)
K0638	/reference/reference-semantics/semantics/methods.k	19	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyMethod(str(CS:IntSeq), "lower", .Vals) => str(mapLower(CS))
K0639	/reference/reference-semantics/semantics/methods.k	20	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyMethod(str(CS:IntSeq), "upper", .Vals) => str(mapUpper(CS))
K0640	/reference/reference-semantics/semantics/methods.k	21	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyMethod(str(CS:IntSeq), "swapcase", .Vals) => str(mapSwap(CS))
K0641	/reference/reference-semantics/semantics/methods.k	26	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyMethod(str(SEP:IntSeq), "join", list(VS:ValSeq), .Vals) => str(joinCodes(SEP, VS))
K0642	/reference/reference-semantics/semantics/methods.k	27	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax IntSeq ::= joinCodes(IntSeq, ValSeq) [function, total]
K0643	/reference/reference-semantics/semantics/methods.k	28	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule joinCodes(_:IntSeq, .ValSeq) => .IntSeq
K0644	/reference/reference-semantics/semantics/methods.k	29	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule joinCodes(_:IntSeq, vCons(str(CS:IntSeq), .ValSeq)) => CS
K0645	/reference/reference-semantics/semantics/methods.k	30	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule joinCodes(SEP:IntSeq, vCons(str(CS:IntSeq), vCons(V:Val, R:ValSeq))) => seqConcat(CS, seqConcat(SEP, joinCodes(SEP, vCons(V, R))))
K0646	/reference/reference-semantics/semantics/methods.k	34	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyMethod(str(CS:IntSeq), "count", str(PC:IntSeq), .Vals) => cntSub(CS, PC)
K0647	/reference/reference-semantics/semantics/methods.k	35	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= cntSub(IntSeq, IntSeq) [function]
K0648	/reference/reference-semantics/semantics/methods.k	36	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule cntSub(.IntSeq, _:IntSeq) => 0
K0649	/reference/reference-semantics/semantics/methods.k	37	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule cntSub(iCons(C:Int, R:IntSeq), PC:IntSeq) => 1 +Int cntSub(dropIS(iCons(C, R), isLen(PC)), PC) requires strPrefix(PC, iCons(C, R)) andBool isLen(PC) >Int 0
K0650	/reference/reference-semantics/semantics/methods.k	39	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule cntSub(iCons(C:Int, R:IntSeq), PC:IntSeq) => cntSub(R, PC) requires notBool strPrefix(PC, iCons(C, R)) orBool isLen(PC) <=Int 0
K0651	/reference/reference-semantics/semantics/methods.k	41	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax IntSeq ::= dropIS(IntSeq, Int) [function, total]
K0652	/reference/reference-semantics/semantics/methods.k	42	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dropIS(S:IntSeq, N:Int) => S requires N <=Int 0
K0653	/reference/reference-semantics/semantics/methods.k	43	rule	owise	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dropIS(.IntSeq, _:Int) => .IntSeq [owise]
K0654	/reference/reference-semantics/semantics/methods.k	44	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dropIS(iCons(_:Int, R:IntSeq), N:Int) => dropIS(R, N -Int 1) requires N >Int 0
